Date,Tijd,Dag,Close Date,Close Time,Close Day,Code,Asset,Status,Order,Timeframe,Session,Trend,Setup,Stoploss,News,Drawdown,Mindset,Mistakes,Potential R,Na BE,Result,Risk,Reward,Return (%),Linkjes,,Notes
12/11,7:30,Wed,,,,1125,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,n/a,B,1%,"0,00","0,00",,,
13/11,8:30,Thu,,,,1125,XAUUSD,Backtest,Buy,30min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
19/11,8:00,Wed,,,,1125,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
20/11,6:00,Thu,,,,1125,XAUUSD,Backtest,Sell,30min,London,,Continuation,Conservatief,,,,,,l,B,1%,"0,00","0,00",,,
21/11,9:30,Fri,,,,1125,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
27/11,7:30,Thu,,,,1125,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
1/5,7:15,Thu,,,,525,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
2/5,6:15,Fri,,,,525,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
5/5,7:15,Mon,,,,525,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,n/a,B,1%,"0,00","0,00",,,
5/5,9:00,Mon,,,,525,XAUUSD,Backtest,Buy,30min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
6/5,7:30,Tue,,,,525,XAUUSD,Backtest,Sell,30min,London,,Continuation,Conservatief,,,,,,,L,1%,"-1,00","-1,00",,,
7/5,8:15,Wed,,,,525,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,L,1%,"-1,00","-1,00",,,
9/6,9:00,Mon,,,,625,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
13/5,8:15,Tue,,,,525,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,L,1%,"-1,00","-1,00",,,
14/5,9:45,Wed,,,,525,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
22/5,6:00,Thu,,,,525,XAUUSD,Backtest,Sell,30min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
23/5,7:15,Fri,,,,525,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
27/5,8:30,Tue,,,,525,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
5/6,6:00,Thu,,,,625,XAUUSD,Backtest,Sell,30min,London,,Continuation,Conservatief,,,,,,w,B,1%,"0,00","0,00",,,
5/6,7:30,Thu,,,,625,XAUUSD,Backtest,Sell,30min,London,,Continuation,Conservatief,,,,,,l (2),B,1%,"0,00","0,00",,,
6/6,6:00,Fri,,,,625,XAUUSD,Backtest,Buy,30min,London,,Continuation,Conservatief,,,,,,w,B,1%,"0,00","0,00",,,
9/6,8:30,Mon,,,,625,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
10/6,7:15,Tue,,,,625,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
11/6,7:45,Wed,,,,625,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
16/6,9:15,Mon,,,,625,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,l,B,1%,"0,00","0,00",,,
18/6,9:45,Wed,,,,625,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,L,1%,"-1,00","-1,00",,,
23/6,6:30,Mon,,,,625,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
24/6,7:15,Tue,,,,625,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
27/6,7:30,Fri,,,,625,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,L,1%,"-1,00","-1,00",,,
1/7,6:30,Tue,,,,725,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
3/7,7:30,Thu,,,,725,XAUUSD,Backtest,Buy,30min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
8/7,6:30,Tue,,,,725,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,l,B,1%,"0,00","0,00",,,
14/7,6:45,Mon,,,,725,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,L,1%,"-1,00","-1,00",,,
15/7,8:30,Tue,,,,725,XAUUSD,Backtest,Sell,30min,London,,Continuation,Conservatief,,,,,,,L,1%,"-1,00","-1,00",,,
16/7,8:15,Wed,,,,725,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
17/7,7:45,Thu,,,,725,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
18/7,9:30,Fri,,,,725,XAUUSD,Backtest,Buy,30min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
21/7,9:30,Mon,,,,725,XAUUSD,Backtest,Sell,30min,London,,Continuation,Conservatief,,,,,,w,B,1%,"0,00","0,00",,,
22/7,6:15,Tue,,,,725,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
